3080	3	0
0.51	0.05	0.00011364	
0.53	0.05	0.00011364	
0.55	0.05	0.00011364	
0.57	0.05	0.00011364	
0.59	0.05	0.00011364	
0.61	0.05	0.00011364	
0.63	0.05	0.00011364	
0.65	0.05	0.00011364	
0.67	0.05	0.00011364	
0.69	0.05	0.00011364	
0.71	0.05	0.00011364	
0.73	0.05	0.00011364	
0.75	0.05	0.00011364	
0.77	0.05	0.00011364	
0.79	0.05	0.00011364	
0.81	0.05	0.00011364	
0.83	0.05	0.00011364	
0.85	0.05	0.00011364	
0.87	0.05	0.00011364	
0.89	0.05	0.00011364	
0.91	0.05	0.00011364	
0.93	0.05	0.00011364	
0.95	0.05	0.00011364	
0.97	0.05	0.00011364	
0.99	0.05	0.00011364	
1.01	0.05	0.00011364	
1.03	0.05	0.00011364	
1.05	0.05	0.00011364	
1.07	0.05	0.00011364	
1.09	0.05	0.00011364	
0.01	0.0642857	0.0001511	
0.03	0.0642857	0.0001511	
0.05	0.0642857	0.0001511	
0.07	0.0642857	0.0001511	
0.09	0.0642857	0.0001511	
0.11	0.0642857	0.0001511	
0.13	0.0642857	0.0001511	
0.15	0.0642857	0.0001511	
0.17	0.0642857	0.0001511	
0.19	0.0642857	0.0001511	
0.21	0.0642857	0.0001511	
0.23	0.0642857	0.0001511	
0.25	0.0642857	0.0001511	
0.27	0.0642857	0.0001511	
0.29	0.0642857	0.0001511	
0.31	0.0642857	0.0001511	
0.33	0.0642857	0.0001511	
0.35	0.0642857	0.0001511	
0.37	0.0642857	0.0001511	
0.39	0.0642857	0.0001511	
0.41	0.0642857	0.0001511	
0.43	0.0642857	0.0001511	
0.45	0.0642857	0.0001511	
0.47	0.0642857	0.0001511	
0.49	0.0642857	0.0001511	
0.51	0.0642857	0.00011364	
0.53	0.0642857	0.00011364	
0.55	0.0642857	0.00011364	
0.57	0.0642857	0.00011364	
0.59	0.0642857	0.00011364	
0.61	0.0642857	0.00011364	
0.63	0.0642857	0.00011364	
0.65	0.0642857	0.00011364	
0.67	0.0642857	0.00011364	
0.69	0.0642857	0.00011364	
0.71	0.0642857	0.00011364	
0.73	0.0642857	0.00011364	
0.75	0.0642857	0.00011364	
0.77	0.0642857	0.00011364	
0.79	0.0642857	0.00011364	
0.81	0.0642857	0.00011364	
0.83	0.0642857	0.00011364	
0.85	0.0642857	0.00011364	
0.87	0.0642857	0.00011364	
0.89	0.0642857	0.00011364	
0.91	0.0642857	0.00011364	
0.93	0.0642857	0.00011364	
0.95	0.0642857	0.00011364	
0.97	0.0642857	0.00011364	
0.99	0.0642857	0.00011364	
1.01	0.0642857	0.00011364	
1.03	0.0642857	0.00011364	
1.05	0.0642857	0.00011364	
1.07	0.0642857	0.00011364	
1.09	0.0642857	0.00011364	
0.01	0.0785714	0.0001511	
0.03	0.0785714	0.0001511	
0.05	0.0785714	0.0001511	
0.07	0.0785714	0.0001511	
0.09	0.0785714	0.0001511	
0.11	0.0785714	0.0001511	
0.13	0.0785714	0.0001511	
0.15	0.0785714	0.0001511	
0.17	0.0785714	0.0001511	
0.19	0.0785714	0.0001511	
0.21	0.0785714	0.0001511	
0.23	0.0785714	0.0001511	
0.25	0.0785714	0.0001511	
0.27	0.0785714	0.0001511	
0.29	0.0785714	0.0001511	
0.31	0.0785714	0.0001511	
0.33	0.0785714	0.0001511	
0.35	0.0785714	0.0001511	
0.37	0.0785714	0.0001511	
0.39	0.0785714	0.0001511	
0.41	0.0785714	0.0001511	
0.43	0.0785714	0.0001511	
0.45	0.0785714	0.0001511	
0.47	0.0785714	0.0001511	
0.49	0.0785714	0.0001511	
0.51	0.0785714	0.00011364	
0.53	0.0785714	0.00011364	
0.55	0.0785714	0.00011364	
0.57	0.0785714	0.00011364	
0.59	0.0785714	0.00011364	
0.61	0.0785714	0.00011364	
0.63	0.0785714	0.00011364	
0.65	0.0785714	0.00011364	
0.67	0.0785714	0.00011364	
0.69	0.0785714	0.00011364	
0.71	0.0785714	0.00011364	
0.73	0.0785714	0.00011364	
0.75	0.0785714	0.00011364	
0.77	0.0785714	0.00011364	
0.79	0.0785714	0.00011364	
0.81	0.0785714	0.00011364	
0.83	0.0785714	0.00011364	
0.85	0.0785714	0.00011364	
0.87	0.0785714	0.00011364	
0.89	0.0785714	0.00011364	
0.91	0.0785714	0.00011364	
0.93	0.0785714	0.00011364	
0.95	0.0785714	0.00011364	
0.97	0.0785714	0.00011364	
0.99	0.0785714	0.00011364	
1.01	0.0785714	0.00011364	
1.03	0.0785714	0.00011364	
1.05	0.0785714	0.00011364	
1.07	0.0785714	0.00011364	
1.09	0.0785714	0.00011364	
0.01	0.0928571	0.0001511	
0.03	0.0928571	0.0001511	
0.05	0.0928571	0.0001511	
0.07	0.0928571	0.0001511	
0.09	0.0928571	0.0001511	
0.11	0.0928571	0.0001511	
0.13	0.0928571	0.0001511	
0.15	0.0928571	0.0001511	
0.17	0.0928571	0.0001511	
0.19	0.0928571	0.0001511	
0.21	0.0928571	0.0001511	
0.23	0.0928571	0.0001511	
0.25	0.0928571	0.0001511	
0.27	0.0928571	0.0001511	
0.29	0.0928571	0.0001511	
0.31	0.0928571	0.0001511	
0.33	0.0928571	0.0001511	
0.35	0.0928571	0.0001511	
0.37	0.0928571	0.0001511	
0.39	0.0928571	0.0001511	
0.41	0.0928571	0.0001511	
0.43	0.0928571	0.0001511	
0.45	0.0928571	0.0001511	
0.47	0.0928571	0.0001511	
0.49	0.0928571	0.0001511	
0.51	0.0928571	0.00011364	
0.53	0.0928571	0.00011364	
0.55	0.0928571	0.00011364	
0.57	0.0928571	0.00011364	
0.59	0.0928571	0.00011364	
0.61	0.0928571	0.00011364	
0.63	0.0928571	0.00011364	
0.65	0.0928571	0.00011364	
0.67	0.0928571	0.00011364	
0.69	0.0928571	0.00011364	
0.71	0.0928571	0.00011364	
0.73	0.0928571	0.00011364	
0.75	0.0928571	0.00011364	
0.77	0.0928571	0.00011364	
0.79	0.0928571	0.00011364	
0.81	0.0928571	0.00011364	
0.83	0.0928571	0.00011364	
0.85	0.0928571	0.00011364	
0.87	0.0928571	0.00011364	
0.89	0.0928571	0.00011364	
0.91	0.0928571	0.00011364	
0.93	0.0928571	0.00011364	
0.95	0.0928571	0.00011364	
0.97	0.0928571	0.00011364	
0.99	0.0928571	0.00011364	
1.01	0.0928571	0.00011364	
1.03	0.0928571	0.00011364	
1.05	0.0928571	0.00011364	
1.07	0.0928571	0.00011364	
1.09	0.0928571	0.00011364	
0.01	0.107143	0.0001511	
0.03	0.107143	0.0001511	
0.05	0.107143	0.0001511	
0.07	0.107143	0.0001511	
0.09	0.107143	0.0001511	
0.11	0.107143	0.0001511	
0.13	0.107143	0.0001511	
0.15	0.107143	0.0001511	
0.17	0.107143	0.0001511	
0.19	0.107143	0.0001511	
0.21	0.107143	0.0001511	
0.23	0.107143	0.0001511	
0.25	0.107143	0.0001511	
0.27	0.107143	0.0001511	
0.29	0.107143	0.0001511	
0.31	0.107143	0.0001511	
0.33	0.107143	0.0001511	
0.35	0.107143	0.0001511	
0.37	0.107143	0.0001511	
0.39	0.107143	0.0001511	
0.41	0.107143	0.0001511	
0.43	0.107143	0.0001511	
0.45	0.107143	0.0001511	
0.47	0.107143	0.0001511	
0.49	0.107143	0.0001511	
0.51	0.107143	0.00011364	
0.53	0.107143	0.00011364	
0.55	0.107143	0.00011364	
0.57	0.107143	0.00011364	
0.59	0.107143	0.00011364	
0.61	0.107143	0.00011364	
0.63	0.107143	0.00011364	
0.65	0.107143	0.00011364	
0.67	0.107143	0.00011364	
0.69	0.107143	0.00011364	
0.71	0.107143	0.00011364	
0.73	0.107143	0.00011364	
0.75	0.107143	0.00011364	
0.77	0.107143	0.00011364	
0.79	0.107143	0.00011364	
0.81	0.107143	0.00011364	
0.83	0.107143	0.00011364	
0.85	0.107143	0.00011364	
0.87	0.107143	0.00011364	
0.89	0.107143	0.00011364	
0.91	0.107143	0.00011364	
0.93	0.107143	0.00011364	
0.95	0.107143	0.00011364	
0.97	0.107143	0.00011364	
0.99	0.107143	0.00011364	
1.01	0.107143	0.00011364	
1.03	0.107143	0.00011364	
1.05	0.107143	0.00011364	
1.07	0.107143	0.00011364	
1.09	0.107143	0.00011364	
0.01	0.121429	0.0001511	
0.03	0.121429	0.0001511	
0.05	0.121429	0.0001511	
0.07	0.121429	0.0001511	
0.09	0.121429	0.0001511	
0.11	0.121429	0.0001511	
0.13	0.121429	0.0001511	
0.15	0.121429	0.0001511	
0.17	0.121429	0.0001511	
0.19	0.121429	0.0001511	
0.21	0.121429	0.0001511	
0.23	0.121429	0.0001511	
0.25	0.121429	0.0001511	
0.27	0.121429	0.0001511	
0.29	0.121429	0.0001511	
0.31	0.121429	0.0001511	
0.33	0.121429	0.0001511	
0.35	0.121429	0.0001511	
0.37	0.121429	0.0001511	
0.39	0.121429	0.0001511	
0.41	0.121429	0.0001511	
0.43	0.121429	0.0001511	
0.45	0.121429	0.0001511	
0.47	0.121429	0.0001511	
0.49	0.121429	0.0001511	
0.51	0.121429	0.00011364	
0.53	0.121429	0.00011364	
0.55	0.121429	0.00011364	
0.57	0.121429	0.00011364	
0.59	0.121429	0.00011364	
0.61	0.121429	0.00011364	
0.63	0.121429	0.00011364	
0.65	0.121429	0.00011364	
0.67	0.121429	0.00011364	
0.69	0.121429	0.00011364	
0.71	0.121429	0.00011364	
0.73	0.121429	0.00011364	
0.75	0.121429	0.00011364	
0.77	0.121429	0.00011364	
0.79	0.121429	0.00011364	
0.81	0.121429	0.00011364	
0.83	0.121429	0.00011364	
0.85	0.121429	0.00011364	
0.87	0.121429	0.00011364	
0.89	0.121429	0.00011364	
0.91	0.121429	0.00011364	
0.93	0.121429	0.00011364	
0.95	0.121429	0.00011364	
0.97	0.121429	0.00011364	
0.99	0.121429	0.00011364	
1.01	0.121429	0.00011364	
1.03	0.121429	0.00011364	
1.05	0.121429	0.00011364	
1.07	0.121429	0.00011364	
1.09	0.121429	0.00011364	
0.01	0.135714	0.0001511	
0.03	0.135714	0.0001511	
0.05	0.135714	0.0001511	
0.07	0.135714	0.0001511	
0.09	0.135714	0.0001511	
0.11	0.135714	0.0001511	
0.13	0.135714	0.0001511	
0.15	0.135714	0.0001511	
0.17	0.135714	0.0001511	
0.19	0.135714	0.0001511	
0.21	0.135714	0.0001511	
0.23	0.135714	0.0001511	
0.25	0.135714	0.0001511	
0.27	0.135714	0.0001511	
0.29	0.135714	0.0001511	
0.31	0.135714	0.0001511	
0.33	0.135714	0.0001511	
0.35	0.135714	0.0001511	
0.37	0.135714	0.0001511	
0.39	0.135714	0.0001511	
0.41	0.135714	0.0001511	
0.43	0.135714	0.0001511	
0.45	0.135714	0.0001511	
0.47	0.135714	0.0001511	
0.49	0.135714	0.0001511	
0.51	0.135714	0.00011364	
0.53	0.135714	0.00011364	
0.55	0.135714	0.00011364	
0.57	0.135714	0.00011364	
0.59	0.135714	0.00011364	
0.61	0.135714	0.00011364	
0.63	0.135714	0.00011364	
0.65	0.135714	0.00011364	
0.67	0.135714	0.00011364	
0.69	0.135714	0.00011364	
0.71	0.135714	0.00011364	
0.73	0.135714	0.00011364	
0.75	0.135714	0.00011364	
0.77	0.135714	0.00011364	
0.79	0.135714	0.00011364	
0.81	0.135714	0.00011364	
0.83	0.135714	0.00011364	
0.85	0.135714	0.00011364	
0.87	0.135714	0.00011364	
0.89	0.135714	0.00011364	
0.91	0.135714	0.00011364	
0.93	0.135714	0.00011364	
0.95	0.135714	0.00011364	
0.97	0.135714	0.00011364	
0.99	0.135714	0.00011364	
1.01	0.135714	0.00011364	
1.03	0.135714	0.00011364	
1.05	0.135714	0.00011364	
1.07	0.135714	0.00011364	
1.09	0.135714	0.00011364	
0.01	0.15	0.0001511	
0.03	0.15	0.0001511	
0.05	0.15	0.0001511	
0.07	0.15	0.0001511	
0.09	0.15	0.0001511	
0.11	0.15	0.0001511	
0.13	0.15	0.0001511	
0.15	0.15	0.0001511	
0.17	0.15	0.0001511	
0.19	0.15	0.0001511	
0.21	0.15	0.0001511	
0.23	0.15	0.0001511	
0.25	0.15	0.0001511	
0.27	0.15	0.0001511	
0.29	0.15	0.0001511	
0.31	0.15	0.0001511	
0.33	0.15	0.0001511	
0.35	0.15	0.0001511	
0.37	0.15	0.0001511	
0.39	0.15	0.0001511	
0.41	0.15	0.0001511	
0.43	0.15	0.0001511	
0.45	0.15	0.0001511	
0.47	0.15	0.0001511	
0.49	0.15	0.0001511	
0.51	0.15	0.00011364	
0.53	0.15	0.00011364	
0.55	0.15	0.00011364	
0.57	0.15	0.00011364	
0.59	0.15	0.00011364	
0.61	0.15	0.00011364	
0.63	0.15	0.00011364	
0.65	0.15	0.00011364	
0.67	0.15	0.00011364	
0.69	0.15	0.00011364	
0.71	0.15	0.00011364	
0.73	0.15	0.00011364	
0.75	0.15	0.00011364	
0.77	0.15	0.00011364	
0.79	0.15	0.00011364	
0.81	0.15	0.00011364	
0.83	0.15	0.00011364	
0.85	0.15	0.00011364	
0.87	0.15	0.00011364	
0.89	0.15	0.00011364	
0.91	0.15	0.00011364	
0.93	0.15	0.00011364	
0.95	0.15	0.00011364	
0.97	0.15	0.00011364	
0.99	0.15	0.00011364	
1.01	0.15	0.00011364	
1.03	0.15	0.00011364	
1.05	0.15	0.00011364	
1.07	0.15	0.00011364	
1.09	0.15	0.00011364	
0.01	0.164286	0.0001511	
0.03	0.164286	0.0001511	
0.05	0.164286	0.0001511	
0.07	0.164286	0.0001511	
0.09	0.164286	0.0001511	
0.11	0.164286	0.0001511	
0.13	0.164286	0.0001511	
0.15	0.164286	0.0001511	
0.17	0.164286	0.0001511	
0.19	0.164286	0.0001511	
0.21	0.164286	0.0001511	
0.23	0.164286	0.0001511	
0.25	0.164286	0.0001511	
0.27	0.164286	0.0001511	
0.29	0.164286	0.0001511	
0.31	0.164286	0.0001511	
0.33	0.164286	0.0001511	
0.35	0.164286	0.0001511	
0.37	0.164286	0.0001511	
0.39	0.164286	0.0001511	
