10100	7	0	0	0	0	0
4.83447e-05	9.92999e-05	0.0002	0.0002	0.0002	0.00695303	0.00695303	
4.90264e-05	9.79191e-05	0.00020282	9.92999e-05	0.00020282	0.00705108	0.00695303	
4.97177e-05	9.65575e-05	0.00020568	9.79191e-05	0.00020568	0.00715051	0.00695303	
5.04188e-05	9.52148e-05	0.000208581	9.65575e-05	0.000208581	0.00725134	0.00695303	
5.11298e-05	9.38908e-05	0.000211522	9.52148e-05	0.000211522	0.0073536	0.00695303	
5.18508e-05	9.25852e-05	0.000214505	9.38908e-05	0.000214505	0.00745729	0.00695303	
5.2582e-05	9.12978e-05	0.00021753	9.25852e-05	0.00021753	0.00756245	0.00695303	
5.33235e-05	9.00282e-05	0.000220597	9.12978e-05	0.000220597	0.0076691	0.00695303	
5.40754e-05	8.87764e-05	0.000223708	9.00282e-05	0.000223708	0.00777724	0.00695303	
5.4838e-05	8.75419e-05	0.000226863	8.87764e-05	0.000226863	0.00788691	0.00695303	
5.56112e-05	8.63246e-05	0.000230062	8.75419e-05	0.000230062	0.00799813	0.00695303	
5.63954e-05	8.51242e-05	0.000233306	8.63246e-05	0.000233306	0.00811091	0.00695303	
5.71907e-05	8.39405e-05	0.000236596	8.51242e-05	0.000236596	0.00822529	0.00695303	
5.79972e-05	8.27733e-05	0.000239932	8.39405e-05	0.000239932	0.00834128	0.00695303	
5.8815e-05	8.16223e-05	0.000243316	8.27733e-05	0.000243316	0.0084589	0.00695303	
5.96444e-05	8.04873e-05	0.000246747	8.16223e-05	0.000246747	0.00857819	0.00695303	
6.04855e-05	7.93681e-05	0.000250226	8.04873e-05	0.000250226	0.00869915	0.00695303	
6.13384e-05	7.82645e-05	0.000253755	7.93681e-05	0.000253755	0.00882182	0.00695303	
6.22034e-05	7.71762e-05	0.000257333	7.82645e-05	0.000257333	0.00894622	0.00695303	
6.30805e-05	7.6103e-05	0.000260962	7.71762e-05	0.000260962	0.00907238	0.00695303	
6.39701e-05	7.50448e-05	0.000264642	7.6103e-05	0.000264642	0.00920031	0.00695303	
6.48721e-05	7.40012e-05	0.000268374	7.50448e-05	0.000268374	0.00933005	0.00695303	
6.57869e-05	7.29722e-05	0.000272158	7.40012e-05	0.000272158	0.00946162	0.00695303	
